EF;M
-0,246312712;0,691769267
-0,13384884;0,702373297
-0,103860663;0,66617537
-0,252466102;0,657916326
-0,092789913;0,647565209
-0,093600663;0,65346535
-0,076946488;0,636394119
-0,06585688;0,635735112
-0,27997218;0,652685378
-0,152827509;0,612937816
-0,047375765;0,589824516
0,108779036;0,612031065
-0,263941894;0,645747022
-0,17426052;0,622956457
-0,191233607;0,591829262
-0,349580343;0,583076132
-0,162353648;0,595761821
-0,036254638;0,613199664
-0,109163174;0,58727524
-0,106990095;0,599721845
-0,157291812;0,588817098
-0,157945179;0,570911376
-0,096650298;0,581645856
0,185451145;0,586564201
-0,246675144;0,593303554
-0,168722291;0,603545236
-0,204032921;0,553117601
-0,240713056;0,558472207
-0,143220201;0,553778718
-0,192421556;0,536724204
-0,119684838;0,519176723
-0,124893674;0,52886114
-0,159270815;0,547172905
-0,156228623;0,531896527
-0,064123242;0,514384071
0,067015273;0,510589303
-0,244871644;0,558300613
-0,070207286;0,569757512
-0,203179597;0,5241014
-0,348431316;0,519427291
-0,095184439;0,521273898
-0,168583621;0,516254234
-0,140068145;0,510958985
-0,115556809;0,506425878
-0,088508755;0,524716392
-0,165950454;0,504411773
-0,040234566;0,491316634
0,084911878;0,484522182
-0,109229109;0,516798516
-0,11560821;0,539405149
-0,208680012;0,508200894
-0,353001452;0,526067891
-0,079552586;0,495739008
-0,162417221;0,498512291
-0,080767633;0,483688392
-0,166994632;0,481747788
-0,009889137;0,507224349
-0,169663432;0,479951306
0,009818801;0,471353906
0,117586646;0,470871321
-0,263985764;0,495135937
-0,102519399;0,517850546
-0,094079418;0,485313633
-0,304147632;0,493750186
-0,10915201;0,471178763
-0,127498425;0,468377389
-0,118906592;0,461208697
-0,090437562;0,459885457
-0,000928802;0,487151634
-0,211424356;0,450784766
-0,103961058;0,452044053
0,144254179;0,451026431
-0,282933126;0,47163136
-0,134471143;0,48136759
-0,229956633;0,46388104
-0,314840401;0,451984582
-0,128661518;0,440918258
-0,168854776;0,423122075
-0,133864831;0,405728435
-0,134962902;0,421629389
-0,120954321;0,430448759
-0,263377404;0,408505149
0,104112054;0,425228013
0,102663381;0,438073808
-0,0762439;0,458913759
0,029650735;0,471401827
-0,138253318;0,44191001
-0,18695321;0,447967489
0,008212141;0,435575974
0,013572398;0,426439522
-0,028748317;0,414874817
-0,066185194;0,420476043
0,171618184;0,425038421
-0,187830293;0,401050294
-0,171747356;0,398685842
-0,029131801;0,389986732
-0,215434582;0,428093521
0,026610946;0,432828145
0,084829679;0,398007003
-0,242404165;0,404497465
0,011174305;0,394330138
-0,01210585;0,390635557
-0,012124816;0,379730952
-0,066537834;0,38017942
-0,199423389;0,383927595
-0,121252032;0,36816401
-0,015077449;0,355050363
-0,173741965;0,355676112
-0,18267238;0,378524245
-0,049749973;0,375427552
-0,140733166;0,360645679
-0,203429883;0,358879448
-0,06804902;0,342456699
-0,147956822;0,339659423
-0,142191869;0,339565735
-0,041548394;0,337438047
-0,077342968;0,352112536
-0,155690434;0,337789662
-0,071387584;0,328841418
-0,0179738;0,328076232
-0,233781248;0,349633202
-0,090728636;0,350853513
-0,104106458;0,329621632
-0,131775333;0,33990801
-0,023127743;0,325844443
-0,010519952;0,329558327
-0,048860833;0,318554855
-0,020410947;0,31597095
-0,015066289;0,338284185
-0,118916129;0,316085052
0,071681789;0,315991506
-0,160369068;0,316992661
-0,254975746;0,322850377
0,122766723;0,336133836
0,006191216;0,315290821
-0,072914251;0,308293908
-0,075602495;0,310044487
-0,010762014;0,309855298
-0,039706478;0,302746205
0,004570365;0,309144586
0,142962473;0,321489165
-0,056172186;0,304214993
-0,261361279;0,306085991
-0,142482526;0,301728457
-0,116363367;0,31598951
0,049803068;0,320895853
-0,036459793;0,313452031
-0,165566767;0,310218199
0,162996785;0,309201457
0,034166016;0,321625378
0,029658664;0,309321337
0,128544443;0,315534177
0,267157694;0,317579512
-0,032908431;0,308695315
0,085546293;0,312739814
-0,009595719;0,307286797
-0,094777665;0,324898046
0,10587665;0,333998465
-0,013528484;0,30646502
-0,0972617;0,318425757
0,110475407;0,322798063
0,110039159;0,322251897
0,085143296;0,315066018
0,072049799;0,325238129
0,086855723;0,325646004
0,150111251;0,313870619
0,28359427;0,318596322
0,575458357;0,316083322
-0,118429438;0,340603351
0,376689685;0,343234547
0,09230717;0,330362238
-0,085038121;0,340382452
0,222668388;0,340891018
0,116338022;0,33105083
0,209401842;0,338417674
0,270614231;0,34175005
0,312507956;0,364087878
-0,309582317;0,358432179
0,516065914;0,351635559
0,66491004;0,340165552
-0,151564718;0,353230524
0,381687212;0,363700483
0,128355209;0,346266133
-0,114006313;0,361199482
0,378088369;0,347728897
0,229048386;0,346351808
0,226156355;0,348076627
0,110427217;0,351130585
0,254379001;0,370930347
-0,049147472;0,358153977
-0,011823069;0,348213878
0,165820827;0,335394756
